date,city,store,product,sales_revenue_aud,orders,customers,sales_channel,notes
2024-08-10,Brisbane,Brisbane Queen St,Urban Waterproof Jacket,2488.99,27,27,In-store,
2024-08-10,Perth,Perth Murray St,Urban Waterproof Jacket,3946.94,38,33,In-store,
2024-08-11,Sydney,Sydney CBD,Classic Rain Jacket,3630.25,27,20,In-store,
2024-08-11,Melbourne,Melbourne Central,Lightweight Poncho,2668.28,17,13,In-store,Orders stored as text;
2024-08-11,Brisbane,Brisbane Queen St,Premium Storm Jacket,1761.97,13,9,Online,
2024-08-11,Perth,Perth Murray St,Lightweight Poncho,3310.24,29,28,walk in,
2024-08-12,Sydney,Sydney CBD,Lightweight Poncho,2128.41,20,17,In-store,
2024-08-12,Melbourne,Melbourne Central,Urban Waterproof Jacket,3759.56,34,33,Online,
2024-08-12,Brisbane,Brisbane Queen St,Premium Storm Jacket,2720.44,15,15,In-store,
2024-08-12,Perth,Perth Murray St,Premium Storm Jacket,4346.27,36,36,Online,
2024-08-13,Sydney,Sydney CBD,Urban Waterproof Jacket,6048.3,31,23,In-store,
2024-08-13,Melbourne,Melbourne Cntrl,Lightweight Poncho,2331.31,26,21,walk in,
2024-08-13,Brisbane,Brisbane Queen St,Classic Rain Jacket,4232.28,23,23,walk in,
2024-08-13,Perth,Perth Murray St,Urban Waterproof Jacket,4996.25,37,34,In-store,
2024-08-14,Sydney,Sydney-CBD,Classic Rain Jacket,2744.18,25,21,Online,
2024-08-14,Melbourne,Melbourne Central,Premium Storm Jacket,3751.14,27,24,phone,
2024-08-14,Unknown,Brisbane Queen St,Urban Waterproof Jacket,4290.82,38,33,Online,Missing city;
2024-08-14,Perth,Perth Murray St,Premium Storm Jacket,4106.23,30,28,walk in,
2024-08-15,Sydney,Sydney CBD,Premium Storm Jacket,3219.15,26,23,Online,
2024-08-15,Melbourne,Melbourne Central,Urban Waterproof Jacket,2456.83,28,28,Online,
2024-08-15,Brisbane,Brisbane Queen St,Urban Waterproof Jacket,0.0,22,17,phone,Revenue stored as text;
2024-08-15,Perth,Perth Murray St,Urban Waterproof Jacket,2243.84,25,25,Online,
2024-08-16,Sydney,Sydney CBD,Lightweight Poncho,2541.46,28,29,walk in,
2024-08-16,Melbourne,Melbourne Central,Urban Waterproof Jacket,2302.01,20,19,Online,
2024-08-16,Brisbane,Brisbane Queen St,Lightweight Poncho,2083.02,24,21,phone,
2024-08-16,Perth,Perth Murray St,Urban Waterproof Jacket,5267.48,40,37,walk in,
2024-08-17,Sydney,Sydney CBD,Urban Waterproof Jacket,3535.03,19,17,phone,
2024-08-17,Melbourne,Melbourne Central,Lightweight Poncho,1076.68,9,7,Online,
2024-08-17,Brisbane,Brisbane Queen St,Premium Storm Jacket,3205.74,21,17,phone,
2024-08-17,Perth,Perth Murray St,Classic Rain Jacket,4705.39,35,31,Online,
2024-08-18,Sydney,Sydney CBD,Premium Storm Jacket,4954.19,27,27,phone,
2024-08-18,Melbourne,Melbourne Central,Urban Waterproof Jacket,5003.17,39,31,In-store,
2024-08-18,Brisbane,Brisbane Queen St,Classic Rain Jacket,4960.57,26,22,Online,
2024-08-18,Perth,Perth Murray St,Premium Storm Jacket,2918.15,27,26,In-store,
2024-08-19,Unknown,Sydney CBD,Urban Waterproof Jacket,3319.17,30,26,In-store,Missing city;
2024-08-19,Melbourne,Melbourne Central,Lightweight Poncho,3660.77,25,21,phone,
2024-08-19,Brisbane,Brisbane Queen St,Urban Waterproof Jacket,1809.31,19,16,In-store,
2024-08-19,Perth,Perth Murray St,Lightweight Poncho,5380.67,27,22,walk in,
2024-08-20,Sydney,Sydney CBD,Urban Waterproof Jacket,2622.86,19,16,In-store,
2024-08-20,Melbourne,Melbourne Central,Urban Waterproof Jacket,2865.13,33,28,Online,
2024-08-20,Brisbane,Brisbane Queen St,Urban Waterproof Jacket,4338.61,28,28,In-store,
2024-08-20,Perth,Perth Murray St,Classic Rain Jacket,2323.47,30,24,phone,
2024-08-21,Sydney,Sydney CBD,Premium Storm Jacket,5605.68,28,21,Online,
2024-08-21,Melbourne,Melbourne Central,Premium Storm Jacket,1779.28,20,19,Online,
2024-08-21,Brisbane,Brisbane Queen St,Lightweight Poncho,4005.24,21,20,phone,
2024-08-21,Perth,Perth Murray St,Urban Waterproof Jacket,0.0,19,19,In-store,Revenue stored as text;
2024-08-22,Sydney,Sydney CBD,Classic Rain Jacket,3172.98,23,23,phone,
2024-08-22,Melbourne,Melbourne Cntrl,Lightweight Poncho,5321.63,32,27,phone,
2024-08-22,Brisbane,Bris Queen St,Lightweight Poncho,3293.96,31,32,phone,
2024-08-22,Perth,Perth Murray St,Urban Waterproof Jacket,3969.28,25,24,walk in,
2024-08-23,Sydney,Sydney CBD,Premium Storm Jacket,2120.97,24,46,Online,Customers unusually high vs orders;
2024-08-23,Melbourne,Melbourne Central,Classic Rain Jacket,1430.84,17,15,In-store,
2024-08-23,Brisbane,Brisbane Queen St,Lightweight Poncho,6097.26,36,37,Online,
2024-08-23,Perth,Perth Murray St,Lightweight Poncho,1744.69,20,16,In-store,
2024-08-24,Sydney,Sydney-CBD,Classic Rain Jacket,1175.29,12,9,phone,
2024-08-24,Melbourne,Melbourne Central,Premium Storm Jacket,3914.0,24,18,Online,
2024-08-24,Brisbane,Brisbane Queen St,Classic Rain Jacket,2070.92,22,18,In-store,
2024-08-24,Perth,Perth Murray St,Lightweight Poncho,2558.71,29,30,phone,
2024-08-25,Sydney,Sydney CBD,Lightweight Poncho,2927.47,30,22,Online,
2024-08-25,Melbourne,Melbourne Central,Premium Storm Jacket,3096.3,29,27,walk in,
2024-08-25,Brisbane,Brisbane Queen St,Classic Rain Jacket,2906.66,20,19,Online,
2024-08-25,Perth,Perth Murray St,Lightweight Poncho,3571.75,27,21,In-store,
2024-08-26,Sydney,Sydney CBD,Lightweight Poncho,2359.98,25,19,In-store,
2024-08-26,Melbourne,Melbourne Central,Lightweight Poncho,4060.59,30,26,Online,
2024-08-26,Perth,Perth Murray St,Lightweight Poncho,5672.36,34,27,Online,
2024-08-27,Sydney,Sydney CBD,Urban Waterproof Jacket,3902.27,21,15,walk in,
2024-08-27,Melbourne,Melbourne Central,Classic Rain Jacket,0.0,31,31,walk in,Missing revenue;
2024-08-27,Brisbane,Brisbane Queen St,Urban Waterproof Jacket,8104.94,40,36,walk in,
2024-08-27,Unknown,Perth Murry St,Lightweight Poncho,0.0,34,28,walk in,Revenue stored as text;
2024-08-28,Melbourne,Melbourne Central,Lightweight Poncho,4746.2,35,34,In-store,
2024-08-28,Brisbane,Brisbane Queen St,Urban Waterproof Jacket,6289.69,31,30,walk in,
2024-08-28,Perth,Perth Murray St,Premium Storm Jacket,3066.4,30,29,Online,
2024-08-29,Sydney,Sydney CBD,Lightweight Poncho,7578.42,50,40,In-store,
2024-08-29,Melbourne,Melbourne Central,Lightweight Poncho,3959.98,39,38,In-store,
2024-08-29,Brisbane,Brisbane Queen St,Urban Waterproof Jacket,5053.6,42,35,phone,
2024-08-29,Perth,Perth Murray St,Urban Waterproof Jacket,3050.58,0,26,Online,Invalid orders value;
2024-08-30,Sydney,Sydney CBD,Classic Rain Jacket,4114.16,32,24,In-store,
2024-08-30,Melbourne,Melbourne Central,Lightweight Poncho,3866.53,23,21,In-store,
2024-08-30,Brisbane,Brisbane Queen St,Urban Waterproof Jacket,4475.27,45,41,In-store,
2024-08-30,Perth,Perth Murray St,Lightweight Poncho,3237.27,35,33,Online,
2024-08-31,Sydney,Sydney CBD,Lightweight Poncho,2439.46,28,25,Online,
2024-08-31,Melbourne,Melbourne Central,Classic Rain Jacket,3313.16,24,24,In-store,
2024-08-31,Brisbane,Brisbane Queen St,Classic Rain Jacket,2474.54,26,21,walk in,
2024-08-31,Perth,Perth Murray St,Urban Waterproof Jacket,1858.83,21,17,Online,
2024-09-01,Sydney,Sydney CBD,Lightweight Poncho,2566.21,26,26,Online,
2024-09-01,Melbourne,Melbourne Central,Urban Waterproof Jacket,3239.89,35,35,In-store,
2024-09-01,Brisbane,Bris Queen St,Lightweight Poncho,4368.3,32,26,In-store,
2024-09-01,Perth,Perth Murray St,Urban Waterproof Jacket,0.0,4,3,In-store,Revenue stored as text;
2024-09-02,Melbourne,Melbourne Central,Urban Waterproof Jacket,2068.16,15,12,Online,
2024-09-02,Brisbane,Brisbane Queen St,Premium Storm Jacket,4421.43,26,25,Online,City typo/inconsistent format;
2024-09-02,Perth,Perth Murray St,Premium Storm Jacket,2813.55,16,12,Online,
2024-09-03,Sydney,Sydney CBD,Classic Rain Jacket,4011.16,31,24,walk in,
2024-09-03,Melbourne,Melbourne Central,Urban Waterproof Jacket,3160.08,19,15,In-store,
2024-09-03,Brisbane,Brisbane Queen St,Urban Waterproof Jacket,2856.33,32,30,Online,
2024-09-03,Perth,Perth Murray St,Urban Waterproof Jacket,1900.79,20,15,phone,
2024-09-04,Sydney,Sydney CBD,Lightweight Poncho,2689.68,28,24,walk in,
2024-09-04,Melbourne,Melbourne Central,Classic Rain Jacket,6941.93,37,38,Online,
2024-09-04,Brisbane,Brisbane Queen St,Urban Waterproof Jacket,2216.82,14,14,In-store,
2024-09-04,Perth,Perth Murray St,Urban Waterproof Jacket,3020.6,28,25,Online,
2024-09-05,Unknown,Sydney CBD,Lightweight Poncho,629.42,6,4,phone,
2024-09-05,Melbourne,Melbourne Central,Urban Waterproof Jacket,2408.77,25,24,walk in,
2024-09-05,Brisbane,Brisbane Queen St,Lightweight Poncho,3405.39,33,30,phone,City typo/inconsistent format;
2024-09-05,Perth,Perth Murray St,Classic Rain Jacket,3059.41,30,23,phone,
2024-09-06,Sydney,Sydney CBD,Premium Storm Jacket,4643.2,30,22,Online,
2024-09-06,Melbourne,Melbourne Central,Classic Rain Jacket,3104.84,26,22,In-store,
2024-09-06,Brisbane,Brisbane Queen St,Lightweight Poncho,3096.19,17,15,Online,City typo/inconsistent format;
2024-09-06,Perth,Perth Murray St,Urban Waterproof Jacket,4795.19,25,22,walk in,
2024-09-07,Sydney,Sydney CBD,Lightweight Poncho,2307.48,26,22,Online,
2024-09-07,Melbourne,Melbourne Central,Lightweight Poncho,3232.97,34,34,In-store,
2024-09-07,Brisbane,Brisbane Queen St,Classic Rain Jacket,1048.22,13,12,walk in,
2024-09-07,Perth,Perth Murray St,Urban Waterproof Jacket,4222.79,32,27,phone,Orders stored as text;
2024-09-08,Sydney,Sydney CBD,Lightweight Poncho,2809.12,30,29,Online,
2024-09-08,Melbourne,Melbourne Central,Classic Rain Jacket,2919.19,22,18,Online,
2024-09-08,Brisbane,Brisbane Queen St,Premium Storm Jacket,2667.05,27,20,phone,
2024-09-08,Perth,Perth Murray St,Classic Rain Jacket,0.0,21,16,phone,Missing revenue;
2024-09-09,Sydney,Sydney CBD,Premium Storm Jacket,2054.38,25,23,In-store,
2024-09-09,Melbourne,Melbourne Central,Lightweight Poncho,3720.48,26,24,In-store,
2024-09-09,Brisbane,Brisbane Queen St,Premium Storm Jacket,2100.15,23,20,phone,
2024-09-09,Perth,Perth Murray St,Urban Waterproof Jacket,2391.41,29,25,walk in,
2024-09-10,Sydney,Sydney CBD,Urban Waterproof Jacket,0.0,3,2,phone,Revenue stored as text;
2024-09-10,Melbourne,Melbourne Central,Lightweight Poncho,3217.34,33,33,phone,
2024-09-10,Brisbane,Brisbane Queen St,Classic Rain Jacket,3949.78,25,20,In-store,
2024-09-10,Perth,Perth Murray St,Premium Storm Jacket,1258.98,13,13,In-store,
2024-09-11,Sydney,Sydney CBD,Lightweight Poncho,1401.89,15,11,Online,
2024-09-11,Melbourne,Melbourne Central,Premium Storm Jacket,2564.81,15,11,In-store,
2024-09-11,Brisbane,Brisbane Queen St,Lightweight Poncho,1437.23,11,10,In-store,
2024-09-11,Perth,Perth Murray St,Urban Waterproof Jacket,3336.82,18,18,walk in,
2024-09-12,Sydney,Sydney CBD,Lightweight Poncho,408.33,4,3,Online,
2024-09-12,Melbourne,Melbourne Central,Classic Rain Jacket,3140.43,17,16,phone,
2024-09-12,Perth,Perth Murray St,Urban Waterproof Jacket,1554.18,9,7,Online,Orders stored as text;
2024-09-13,Sydney,Sydney CBD,Classic Rain Jacket,1565.15,19,19,In-store,
2024-09-13,Melbourne,Melbourne Central,Premium Storm Jacket,2525.37,30,23,Online,
2024-09-13,Brisbane,Brisbane Q Street,Urban Waterproof Jacket,2000.16,26,24,In-store,
2024-09-13,Perth,Perth-Murray,Urban Waterproof Jacket,3728.42,24,24,In-store,Orders stored as text;
2024-09-14,Sydney,Sydney CBD,Classic Rain Jacket,2663.24,17,14,Online,
2024-09-14,Melbourne,Melbourne Central,Urban Waterproof Jacket,2404.63,25,25,phone,
2024-09-14,Brisbane,Brisbane Queen St,Premium Storm Jacket,3419.25,26,26,In-store,
2024-09-14,Perth,Perth Murray St,Lightweight Poncho,3890.28,19,16,phone,
2024-09-15,Sydney,Sydney CBD,Lightweight Poncho,4217.09,41,41,In-store,
2024-09-15,Melbourne,Melbourne Central,Urban Waterproof Jacket,3330.89,30,27,In-store,
2024-09-15,Brisbane,Brisbane Queen St,Urban Waterproof Jacket,3629.54,20,17,In-store,
2024-09-15,Perth,Perth Murray St,Premium Storm Jacket,4629.23,40,32,In-store,
2024-09-16,Sydney,Sydney CBD,Urban Waterproof Jacket,3841.51,28,0,Online,Missing customers;
2024-09-16,Melbourne,Melbourne Central,Urban Waterproof Jacket,2601.29,30,25,In-store,
2024-09-16,Brisbane,Brisbane Queen St,Lightweight Poncho,1755.61,11,8,Online,
2024-09-16,Perth,Perth Murray St,Lightweight Poncho,663.89,6,6,Online,
2024-09-17,Sydney,Sydney CBD,Premium Storm Jacket,3054.14,17,15,In-store,
2024-09-17,Melbourne,Melbourne Central,Classic Rain Jacket,3126.94,0,14,In-store,Invalid orders value;
2024-09-17,Brisbane,Brisbane Queen St,Urban Waterproof Jacket,4677.17,31,28,walk in,
2024-09-17,Perth,Perth Murray St,Lightweight Poncho,3384.8,20,15,walk in,
2024-09-18,Sydney,Sydney CBD,Premium Storm Jacket,1217.05,13,11,Online,
2024-09-18,Melbourne,Melbourne Central,Urban Waterproof Jacket,2519.2,15,11,Online,
2024-09-18,Brisbane,Brisbane Queen St,Premium Storm Jacket,3491.96,38,32,Online,
2024-09-18,Perth,Perth Murray St,Premium Storm Jacket,2132.69,13,10,phone,
2024-09-19,Melbourne,Melbourne Central,Classic Rain Jacket,4124.75,21,21,In-store,
2024-09-19,Brisbane,Brisbane Queen St,Classic Rain Jacket,3023.49,23,19,Online,
2024-09-19,Perth,Perth Murray St,Classic Rain Jacket,2877.97,28,24,phone,
2024-09-20,Sydney,Sydney CBD,Lightweight Poncho,2523.83,0,14,walk in,Missing orders;
2024-09-20,Melbourne,Melbourne Central,Premium Storm Jacket,3631.48,30,23,phone,
2024-09-20,Brisbane,Brisbane Queen St,Lightweight Poncho,3542.46,26,22,Online,
2024-09-20,Perth,Perth Murray St,Lightweight Poncho,6031.29,30,25,phone,
2024-09-21,Melbourne,Melbourne Central,Premium Storm Jacket,2272.24,15,12,Online,
2024-09-21,Brisbane,Brisbane Queen St,Urban Waterproof Jacket,6005.86,36,29,phone,
2024-09-21,Perth,Perth Murray St,Urban Waterproof Jacket,179.38,2,2,In-store,
2024-09-22,Sydney,Sydney CBD,Premium Storm Jacket,1985.85,20,17,Online,
2024-09-22,Melbourne,Melbourne Central,Classic Rain Jacket,2903.08,27,25,phone,
2024-09-22,Brisbane,Brisbane Queen St,Urban Waterproof Jacket,4887.29,34,34,In-store,
2024-09-22,Perth,Perth Murray St,Urban Waterproof Jacket,4693.31,29,23,In-store,
2024-09-23,Sydney,Sydney CBD,Urban Waterproof Jacket,2866.12,23,20,Online,
2024-09-23,Melbourne,Melbourne Central,Lightweight Poncho,3266.92,27,24,Online,
2024-09-23,Brisbane,Brisbane Queen St,Classic Rain Jacket,2463.54,16,13,Online,
2024-09-23,Perth,Perth Murray St,Urban Waterproof Jacket,3368.87,19,15,Online,
2024-09-24,Sydney,Sydney CBD,Premium Storm Jacket,3113.85,27,21,Online,
2024-09-24,Melbourne,Melbourne Central,Classic Rain Jacket,1564.91,11,11,In-store,
2024-09-24,Brisbane,Brisbane Queen St,Classic Rain Jacket,1948.04,20,20,In-store,
2024-09-24,Perth,Perth Murray St,Urban Waterproof Jacket,0.0,28,26,In-store,Revenue stored as text;
2024-09-25,Sydney,Sydney CBD,Urban Waterproof Jacket,2867.58,22,19,In-store,
2024-09-25,Melbourne,Melbourne Central,Urban Waterproof Jacket,3479.57,24,24,In-store,
2024-09-25,Brisbane,Brisbane Queen St,Classic Rain Jacket,3859.19,20,19,In-store,
2024-09-25,Perth,Perth Murray St,Classic Rain Jacket,0.0,13,12,Online,Revenue stored as text;
2024-09-26,Sydney,Sydney CBD,Classic Rain Jacket,2201.12,26,21,Online,
2024-09-26,Melbourne,Melbourne Central,Lightweight Poncho,2431.72,23,21,Online,City typo/inconsistent format;
2024-09-26,Brisbane,Brisbane Queen St,Classic Rain Jacket,1238.62,15,12,Online,
2024-09-26,Perth,Perth Murry St,Urban Waterproof Jacket,3399.38,39,29,In-store,
2024-09-27,Sydney,Sydney CBD,Lightweight Poncho,2798.78,34,34,Online,
2024-09-27,Melbourne,Melbourne Central,Classic Rain Jacket,2746.3,24,21,In-store,
2024-09-27,Brisbane,Brisbane Queen St,Premium Storm Jacket,1867.2,23,20,Online,
2024-09-28,Sydney,Sydney CBD,Classic Rain Jacket,1504.23,16,14,In-store,
2024-09-28,Melbourne,Melbourne Central,Classic Rain Jacket,3369.33,25,18,phone,
2024-09-28,Brisbane,Brisbane Queen St,Classic Rain Jacket,1871.09,14,11,Online,
2024-09-28,Perth,Perth Murray St,Classic Rain Jacket,892.49,7,5,walk in,
2024-09-29,Sydney,Sydney CBD,Lightweight Poncho,1817.33,19,15,Online,
2024-09-29,Sydney,Sydney CBD,Urban Waterproof Jacket,1817.33,19,15,In-store,Possible duplicate row
2024-09-29,Melbourne,Melbourne Central,Premium Storm Jacket,1682.1,20,20,Online,
2024-09-29,Brisbane,Brisbane Queen St,Urban Waterproof Jacket,2448.59,16,12,walk in,
2024-09-29,Perth,Perth Murray St,Lightweight Poncho,3347.84,22,16,Online,
2024-09-30,Sydney,Sydney CBD,Urban Waterproof Jacket,2839.4,30,29,In-store,
2024-09-30,Melbourne,Melbourne Central,Classic Rain Jacket,3217.01,31,23,Online,
2024-09-30,Brisbane,Brisbane Queen St,Lightweight Poncho,3594.09,18,16,In-store,
2024-09-30,Perth,Perth Murray St,Urban Waterproof Jacket,1117.19,11,10,Online,
2024-10-01,Sydney,Sydney CBD,Premium Storm Jacket,4681.1,29,29,Online,
2024-10-01,Melbourne,Melbourne Central,Urban Waterproof Jacket,2113.43,22,20,walk in,
2024-10-01,Brisbane,Brisbane Queen St,Premium Storm Jacket,1094.5,7,6,In-store,
2024-10-01,Perth,Perth Murray St,Premium Storm Jacket,3039.86,34,31,Online,
2024-10-02,Sydney,Sydney CBD,Premium Storm Jacket,4190.8,32,28,In-store,
2024-10-02,Melbourne,Melbourne Central,Urban Waterproof Jacket,3591.34,27,22,phone,
2024-10-02,Brisbane,Brisbane Queen St,Classic Rain Jacket,1593.53,12,11,In-store,
2024-10-02,Perth,Perth Murray St,Premium Storm Jacket,1826.19,20,16,In-store,
2024-10-03,Sydney,Sydney CBD,Lightweight Poncho,1472.72,13,9,phone,
2024-10-03,Melbourne,Melb Central,Premium Storm Jacket,3934.46,25,20,In-store,
2024-10-03,Brisbane,Brisbane Queen St,Classic Rain Jacket,1733.28,9,8,walk in,
2024-10-03,Perth,Perth Murray St,Urban Waterproof Jacket,1933.41,20,18,In-store,
2024-10-04,Sydney,Sydney CBD,Urban Waterproof Jacket,2244.04,13,11,In-store,
2024-10-04,Melbourne,Melbourne Central,Urban Waterproof Jacket,5133.37,30,24,Online,
2024-10-04,Brisbane,Brisbane Queen St,Classic Rain Jacket,2530.54,23,18,Online,
2024-10-04,Perth,Perth Murray St,Premium Storm Jacket,651.15,7,6,walk in,
2024-10-05,Sydney,Sydney CBD,Lightweight Poncho,3414.22,35,29,phone,
2024-10-05,Melbourne,Melbourne Central,Premium Storm Jacket,5471.0,28,22,phone,
2024-10-05,Brisbane,Brisbane Queen St,Premium Storm Jacket,4952.77,29,24,walk in,
2024-10-05,Perth,Perth Murray St,Lightweight Poncho,3183.72,24,21,Online,
2024-10-06,Sydney,Sydney CBD,Lightweight Poncho,764.78,5,3,walk in,
2024-10-06,Melbourne,Melbourne Central,Classic Rain Jacket,468.31,4,4,Online,
2024-10-06,Brisbane,Brisbane Queen St,Lightweight Poncho,2229.24,23,20,Online,
2024-10-06,Perth,Perth Murray St,Lightweight Poncho,6630.97,35,27,phone,
2024-10-07,Unknown,Sydney CBD,Premium Storm Jacket,2185.23,20,19,In-store,
2024-10-07,Melbourne,Melbourne Central,Urban Waterproof Jacket,2805.92,32,31,Online,
2024-10-07,Brisbane,Brisbane Queen St,Classic Rain Jacket,2026.36,16,16,walk in,
2024-10-07,Perth,Perth Murray St,Classic Rain Jacket,750.42,8,7,Online,
2024-10-08,Sydney,Sydney CBD,Urban Waterproof Jacket,5620.96,28,25,Online,
2024-10-08,Melbourne,Melbourne Central,Urban Waterproof Jacket,0.0,18,17,In-store,Revenue stored as text;
2024-10-08,Brisbane,Brisbane Queen St,Classic Rain Jacket,3573.63,27,24,phone,
2024-10-08,Perth,Perth Murray St,Premium Storm Jacket,5507.25,29,24,In-store,
2024-10-09,Sydney,Sydney CBD,Premium Storm Jacket,2034.88,20,19,Online,
2024-10-09,Brisbane,Brisbane Queen St,Lightweight Poncho,1248.96,14,10,Online,
2024-10-09,Perth,Perth Murray St,Premium Storm Jacket,2377.12,23,22,phone,
2024-10-10,Sydney,Sydney CBD,Premium Storm Jacket,2057.03,22,0,walk in,Missing customers;
2024-10-10,Melbourne,Melbourne Central,Premium Storm Jacket,1078.65,8,6,walk in,Orders stored as text;
2024-10-10,Brisbane,Brisbane Queen St,Premium Storm Jacket,4137.62,37,0,Online,Missing customers;
2024-10-10,Perth,Perth Murray St,Premium Storm Jacket,3733.04,29,29,Online,City typo/inconsistent format;
2024-10-11,Sydney,Sydney CBD,Classic Rain Jacket,3031.88,20,16,phone,
2024-10-11,Melbourne,Melbourne Central,Lightweight Poncho,2816.19,24,21,walk in,City typo/inconsistent format;
2024-10-11,Brisbane,Brisbane Queen St,Lightweight Poncho,1336.16,14,13,phone,
2024-10-11,Perth,Perth Murray St,Urban Waterproof Jacket,1231.26,14,14,phone,
2024-10-12,Sydney,Sydney CBD,Lightweight Poncho,2149.4,20,15,In-store,
2024-10-12,Brisbane,Brisbane Queen St,Lightweight Poncho,1107.67,11,10,walk in,
2024-10-12,Perth,Perth Murray St,Urban Waterproof Jacket,6103.75,33,29,In-store,
2024-10-13,Sydney,Sydney CBD,Classic Rain Jacket,1548.89,18,18,In-store,
2024-10-13,Melbourne,Melbourne Central,Lightweight Poncho,2298.7,25,21,Online,
2024-10-13,Brisbane,Brisbane Queen St,Classic Rain Jacket,2432.12,0,26,Online,Missing orders;
2024-10-13,Perth,Perth Murray St,Lightweight Poncho,1891.63,15,12,Online,
2024-10-14,Sydney,Sydney CBD,Classic Rain Jacket,2025.29,20,15,In-store,
2024-10-14,Melbourne,Melbourne Central,Lightweight Poncho,4250.6,33,25,walk in,
2024-10-14,Brisbane,Brisbane Queen St,Lightweight Poncho,2222.81,23,19,phone,
2024-10-14,Perth,Perth Murray St,Classic Rain Jacket,1179.19,7,6,phone,
2024-10-15,Sydney,Sydney CBD,Classic Rain Jacket,1120.02,13,10,Online,
2024-10-15,Melbourne,Melbourne Central,Classic Rain Jacket,2834.32,27,27,walk in,
2024-10-15,Brisbane,Brisbane Queen St,Lightweight Poncho,1986.25,25,26,Online,
2024-10-15,Perth,Perth Murray St,Lightweight Poncho,2521.82,20,20,In-store,
2024-10-16,Sydney,Sydney CBD,Lightweight Poncho,2332.73,30,28,walk in,
2024-10-16,Melbourne,Melbourne Central,Lightweight Poncho,1135.5,13,12,In-store,
2024-10-16,Brisbane,Brisbane Queen St,Lightweight Poncho,2343.34,23,17,phone,
2024-10-16,Perth,Perth Murray St,Lightweight Poncho,3390.58,35,26,Online,
2024-10-17,Sydney,Sydney CBD,Classic Rain Jacket,2890.06,26,22,In-store,
2024-10-17,Melbourne,Melbourne Central,Urban Waterproof Jacket,5125.13,33,30,In-store,
2024-10-17,Brisbane,Brisbane Queen St,Lightweight Poncho,0.0,23,23,In-store,Missing revenue;
2024-10-17,Perth,Perth Murray St,Classic Rain Jacket,2095.09,27,25,In-store,
2024-10-18,Sydney,Sydney CBD,Premium Storm Jacket,3078.54,33,26,Online,
2024-10-18,Melbourne,Melbourne Central,Premium Storm Jacket,1560.2,20,15,phone,
2024-10-18,Brisbane,Brisbane Queen St,Urban Waterproof Jacket,4515.22,32,33,walk in,
2024-10-18,Perth,Perth Murray St,Classic Rain Jacket,2084.73,21,21,walk in,
2024-10-19,Sydney,Sydney CBD,Classic Rain Jacket,3964.44,26,21,Online,
2024-10-19,Melbourne,Melbourne Central,Lightweight Poncho,845.79,9,8,Online,
2024-10-19,Brisbane,Brisbane Queen St,Urban Waterproof Jacket,1545.15,18,17,In-store,
2024-10-19,Perth,Perth Murray St,Urban Waterproof Jacket,1290.29,13,11,Online,
2024-10-20,Sydney,Sydney CBD,Premium Storm Jacket,2150.75,21,16,phone,
2024-10-20,Melbourne,Melbourne Central,Urban Waterproof Jacket,4615.33,24,23,In-store,
2024-10-20,Brisbane,Brisbane Queen St,Urban Waterproof Jacket,2108.86,20,20,Online,
2024-10-20,Perth,Perth Murray St,Classic Rain Jacket,1470.86,17,14,Online,
2024-10-21,Sydney,Sydney CBD,Urban Waterproof Jacket,2725.75,24,18,Online,
2024-10-21,Melbourne,Melbourne Central,Urban Waterproof Jacket,2622.3,26,23,In-store,
2024-10-21,Brisbane,Brisbane Queen St,Urban Waterproof Jacket,3257.7,24,20,In-store,
2024-10-21,Perth,Perth Murray St,Lightweight Poncho,2509.36,22,21,Online,
2024-10-22,Sydney,Sydney CBD,Urban Waterproof Jacket,2360.86,19,16,phone,
2024-10-22,Melbourne,Melbourne Central,Classic Rain Jacket,1560.48,14,12,Online,
2024-10-22,Brisbane,Brisbane Queen St,Lightweight Poncho,3052.98,32,30,Online,
2024-10-22,Perth,Perth Murray St,Urban Waterproof Jacket,1989.08,18,15,Online,
2024-10-23,Sydney,Sydney CBD,Premium Storm Jacket,3458.13,0,30,In-store,Invalid orders value;
2024-10-23,Melbourne,Melbourne Central,Urban Waterproof Jacket,2332.25,18,14,phone,
2024-10-23,Brisbane,Brisbane Queen St,Lightweight Poncho,1382.17,12,12,phone,
2024-10-23,Perth,Perth Murray St,Lightweight Poncho,2364.46,26,23,phone,
2024-10-24,Sydney,Sydney CBD,Lightweight Poncho,760.97,9,7,In-store,
2024-10-24,Melbourne,Melbourne Central,Classic Rain Jacket,6055.01,33,34,walk in,
2024-10-24,Brisbane,Brisbane Queen St,Premium Storm Jacket,1834.82,24,19,In-store,
2024-10-24,Perth,Perth Murray St,Premium Storm Jacket,3735.69,35,32,In-store,
2024-10-25,Sydney,Sydney CBD,Lightweight Poncho,2729.28,29,29,walk in,
2024-10-25,Melbourne,Melbourne Central,Lightweight Poncho,3572.88,43,38,phone,
2024-10-25,Brisbane,Brisbane Queen St,Lightweight Poncho,1970.4,20,15,Online,
2024-10-25,Perth,Perth Murray St,Premium Storm Jacket,1827.59,19,18,Online,
2024-10-26,Sydney,Sydney CBD,Urban Waterproof Jacket,1742.2,19,16,Online,
2024-10-26,Melbourne,Melbourne Central,Urban Waterproof Jacket,1915.06,14,11,phone,
2024-10-26,Brisbane,Brisbane Queen St,Urban Waterproof Jacket,2028.3,23,20,Online,
